"Description","Time_Turkish","Tanım"
"Description","Time_Swedish","Beskrivning"
"Description","Time_Russian","Описание"
"Description","Time_Romanian","Descriere"
"Description","Time_Polish","Opis"
"Description","Time_Norwegian","Beskrivelse"
"Description","Time_Korean","설명"
"Description","Time_Hungarian","Leírás"
"Description","Time_Finnish","Kuvaus"
"Description","Time_Danish","Beskrivelse"
"Description","Time_Czech","Popis"
"Description","Time_Croatian","Opis"
"Description","Time_ChineseTraditional","說明"
"Description","Time_Brasilian","Descrição"
"Description","Time_ChineseSimplified","说明"
"Description","Time_Spanish","Descripción"
"Description","Time_Italian","Descrizione"
"Description","Time_Japanese","説明"
"Description","Time_French","Description"
"Description","Time_German","Beschreibung"
"Description","Time_English","Description"
"Description","Time","Description"
"Q1-2005","Time_Turkish","1Ç-2005"
"Q1-2005","Time_Swedish","K1-2005"
"Q1-2005","Time_Russian","Кв.1-2005"
"Q1-2005","Time_Polish","K1-2005"
"Q1-2005","Time_Norwegian","1. kvartal-2005"
"Q1-2005","Time_Korean","1분기-2005"
"Q1-2005","Time_Finnish","VN1-2005"
"Q1-2005","Time_Danish","1. kv.-2005"
"Q1-2005","Time_ChineseSimplified","2005年1季度"
"Q1-2005","Time_Spanish","1er trim.-2005"
"Q1-2005","Time_Italian","Q1-2005"
"Q1-2005","Time_Japanese","2005 年第 1 四半期"
"Q1-2005","Time_French","Q1-2005"
"Q1-2005","Time_German","Q1-2005"
"Q1-2005","Time_English","Q1-2005"
"Q1-2005","Time","Q1-2005"
"Jan-2005","Time_Turkish","Oca-05"
"Jan-2005","Time_Swedish","Jan-05"
"Jan-2005","Time_Russian","Янв-05"
"Jan-2005","Time_Romanian","Ian-05"
"Jan-2005","Time_Polish","Sty-05"
"Jan-2005","Time_Norwegian","Jan-05"
"Jan-2005","Time_Korean","1월-05"
"Jan-2005","Time_Hungarian","Jan-05"
"Jan-2005","Time_Finnish","Tammi-05"
"Jan-2005","Time_Danish","Jan-05"
"Jan-2005","Time_Czech","Led-05"
"Jan-2005","Time_Croatian","Sij-05"
"Jan-2005","Time_Brasilian","Jan-05"
"Jan-2005","Time_ChineseSimplified","05年1月"
"Jan-2005","Time_Spanish","En-05"
"Jan-2005","Time_Italian","Gen-05"
"Jan-2005","Time_Japanese","2005 年 1 月"
"Jan-2005","Time_French","Jan-2005"
"Jan-2005","Time_German","Jan. 2005"
"Jan-2005","Time_English","Jan-2005"
"Jan-2005","Time","Jan-2005"
"Feb-2005","Time_Turkish","Şub-05"
"Feb-2005","Time_Swedish","Feb-05"
"Feb-2005","Time_Russian","Фев-05"
"Feb-2005","Time_Romanian","Feb-05"
"Feb-2005","Time_Polish","Lut-05"
"Feb-2005","Time_Norwegian","Feb-05"
"Feb-2005","Time_Korean","2월-05"
"Feb-2005","Time_Hungarian","Feb-05"
"Feb-2005","Time_Finnish","Helmi-05"
"Feb-2005","Time_Danish","Feb-05"
"Feb-2005","Time_Czech","Úno-05"
"Feb-2005","Time_Croatian","Vel-05"
"Feb-2005","Time_Brasilian","Fev-05"
"Feb-2005","Time_ChineseSimplified","05年2月"
"Feb-2005","Time_Spanish","Feb-05"
"Feb-2005","Time_Italian","Feb-05"
